N,PESQ_Mix,PESQ_Disc,PESQ_Gen,ESTOI_Mix,ESTOI_Disc,ESTOI_Gen,SISNR_Mix,SISNR_Disc,SISNR_Gen,SDR_Mix,SDR_Disc,SDR_Gen,DNSMOS_Mix,DNSMOS_Disc,DNSMOS_Gen,SIM_Disc,SIM_Gen,WER_Disc,WER_Gen
495,1.644,3.061,2.698,0.541,0.861,0.819,-0.001,11.925,11.76,0.179,14.37,14.154,2.946,3.108,3.353,0.978,0.973,5.162,8.015
496,1.644,3.062,2.697,0.541,0.86,0.819,-0.0,11.917,11.752,0.18,14.361,14.145,2.947,3.108,3.353,0.978,0.973,5.151,8.028
497,1.644,3.061,2.697,0.541,0.86,0.819,-0.006,11.914,11.749,0.174,14.36,14.145,2.946,3.109,3.354,0.978,0.973,5.141,8.022
498,1.644,3.061,2.696,0.541,0.86,0.819,-0.001,11.916,11.751,0.179,14.365,14.15,2.945,3.109,3.354,0.978,0.973,5.143,8.031
499,1.643,3.061,2.697,0.541,0.86,0.819,-0.002,11.913,11.748,0.178,14.364,14.149,2.945,3.109,3.354,0.978,0.973,5.133,8.035
500,1.643,3.062,2.698,0.541,0.861,0.819,-0.001,11.912,11.748,0.179,14.368,14.153,2.945,3.109,3.355,0.978,0.973,5.133,8.028
501,1.643,3.061,2.697,0.541,0.861,0.819,-0.004,11.907,11.743,0.176,14.362,14.147,2.946,3.109,3.356,0.978,0.973,5.172,8.048
502,1.643,3.06,2.696,0.541,0.861,0.819,-0.0,11.898,11.734,0.179,14.356,14.142,2.946,3.109,3.355,0.978,0.973,5.162,8.042
503,1.643,3.06,2.695,0.541,0.861,0.819,0.002,11.899,11.735,0.182,14.361,14.146,2.947,3.109,3.356,0.978,0.973,5.211,8.105
504,1.643,3.06,2.695,0.541,0.861,0.819,-0.001,11.9,11.736,0.179,14.366,14.151,2.947,3.109,3.357,0.978,0.973,5.221,8.109
505,1.642,3.06,2.696,0.541,0.861,0.819,0.001,11.899,11.735,0.181,14.368,14.152,2.947,3.11,3.358,0.978,0.973,5.248,8.112
506,1.642,3.061,2.696,0.541,0.861,0.819,-0.001,11.903,11.738,0.179,14.368,14.152,2.946,3.11,3.358,0.978,0.973,5.238,8.105
507,1.641,3.06,2.696,0.541,0.861,0.82,0.003,11.904,11.74,0.182,14.372,14.156,2.947,3.11,3.358,0.978,0.973,5.227,8.115
508,1.641,3.061,2.697,0.541,0.861,0.82,-0.001,11.902,11.737,0.178,14.37,14.155,2.948,3.109,3.357,0.978,0.973,5.217,8.099
509,1.64,3.06,2.697,0.541,0.861,0.82,0.001,11.902,11.738,0.181,14.37,14.155,2.948,3.109,3.357,0.978,0.973,5.207,8.105
510,1.64,3.061,2.697,0.541,0.861,0.82,-0.001,11.896,11.732,0.179,14.364,14.149,2.949,3.108,3.357,0.978,0.973,5.197,8.089
511,1.64,3.062,2.698,0.541,0.861,0.82,-0.001,11.898,11.734,0.178,14.368,14.153,2.948,3.108,3.356,0.978,0.973,5.187,8.073
512,1.64,3.062,2.698,0.54,0.861,0.82,-0.001,11.904,11.74,0.178,14.373,14.158,2.948,3.108,3.355,0.978,0.973,5.176,8.057
513,1.639,3.061,2.698,0.54,0.861,0.82,-0.013,11.899,11.736,0.166,14.368,14.153,2.948,3.108,3.356,0.978,0.973,5.215,8.078
514,1.639,3.061,2.697,0.54,0.861,0.82,-0.001,11.9,11.737,0.178,14.371,14.157,2.948,3.108,3.356,0.978,0.973,5.205,8.063
515,1.639,3.06,2.696,0.541,0.861,0.82,0.003,11.896,11.732,0.182,14.369,14.155,2.948,3.108,3.356,0.978,0.973,5.231,8.083
516,1.639,3.06,2.696,0.54,0.861,0.82,-0.001,11.891,11.728,0.178,14.362,14.148,2.948,3.107,3.354,0.978,0.973,5.221,8.079
517,1.639,3.06,2.696,0.54,0.862,0.82,0.006,11.894,11.731,0.185,14.366,14.152,2.949,3.107,3.355,0.978,0.973,5.211,8.063
518,1.639,3.059,2.696,0.54,0.861,0.82,-0.002,11.895,11.732,0.178,14.367,14.153,2.95,3.107,3.354,0.978,0.973,5.201,8.065
519,1.638,3.059,2.695,0.54,0.861,0.82,-0.009,11.895,11.732,0.171,14.368,14.154,2.95,3.107,3.355,0.978,0.973,5.191,8.05
520,1.638,3.059,2.695,0.54,0.861,0.82,-0.002,11.893,11.73,0.179,14.372,14.158,2.95,3.107,3.355,0.978,0.973,5.181,8.034
521,1.638,3.06,2.697,0.541,0.862,0.82,0.002,11.895,11.733,0.183,14.38,14.165,2.949,3.107,3.355,0.978,0.973,5.187,8.035
522,1.637,3.061,2.698,0.54,0.862,0.82,-0.001,11.904,11.741,0.18,14.385,14.17,2.948,3.107,3.355,0.978,0.973,5.177,8.035
523,1.637,3.061,2.698,0.541,0.862,0.82,0.004,11.904,11.741,0.185,14.39,14.176,2.949,3.107,3.355,0.978,0.973,5.194,8.047
524,1.637,3.062,2.7,0.54,0.862,0.82,-0.001,11.909,11.746,0.179,14.393,14.178,2.95,3.107,3.355,0.978,0.973,5.185,8.032
